gene_name	regulator	sign	mechanism
ybdO	abrB	-1	TF
yabJ	purR	-1	TF+M
ydaP	sigB	1	sigma factor
yngC	sigM	1	sigma factor
yngC	yclJ	1	TF+TC
gmuG	sigA	1	sigma factor
gmuG	gmuR	-1	TF+M
gmuG	ccpA	-1	TF+PP+M
gmuG	abrB	1	TF
yclA	bsdA	0	TF+M
ctaF	sigA	1	sigma factor
ctaF	resD	1	TF+TC
ctaF	ccpA	-1	TF+PP+M
ctaF	abrB	-1	TF
ctaF	abh	-1	TF
sspB	sigG	1	sigma factor
sspB	spoVT	1	TF
thrB	codY	0	TF+M
lytD	sigD	1	sigma factor
lytD	sigG	1	sigma factor
ydaG	sigB	1	sigma factor
lrgB.1	ywbI	0	silico-TF+unk
yulD	rhaR	0	silico-TF+M
fusA	stringent response	-1	unk
alkA	sigA	1	sigma factor
alkA	sigE	1	sigma factor
alkA	adaA	1	TF+S
clpX	sigA	1	sigma factor
clpX	ctsR	-1	TF+unstability
sdpR	sigA	1	sigma factor
sdpR	sdpR	-1	TF+P
sdpR	abrB	-1	TF
yfhD	sigB	1	sigma factor
yfhD	sigF	1	sigma factor
yfhD	sigG	1	sigma factor
yfhD	spoVT	1	TF
ptsH	sigA	1	sigma factor
ptsH	stringent response	-1	unk
ptsH	glcT	1	P-AT+PTS
spo0B	sigA	1	sigma factor
ntdC	sigA	1	sigma factor
ntdC	sigE	1	sigma factor
ntdC	ntdR	1	TF+M
ntdC	gerR	-1	TF
purB	sigA	1	sigma factor
purB	purR	-1	TF+M
purB	G-box-HXTX	1	riboswitch
purB	G-box-GUA	1	riboswitch
cotB	sigK	1	sigma factor
cotB	sigE	1	sigma factor
cotB	gerR	1	TF
cotB	gerE	1	TF
ilvE	codY	-1	TF+M
atpD	stringent response	-1	unk
clpY	sigA	1	sigma factor
clpY	codY	-1	TF+M
ribH	sigK	1	sigma factor
ribH	sigA	1	sigma factor
ribH	FMN-box	-1	riboswitch
yqdB	sigA	1	sigma factor
yqdB	ratA	-1	antisense RNA
racX	sigW	1	sigma factor
racX	abrB	-1	TF
mlpA	sigE	1	sigma factor
mlpA	spoIIID	-1	TF
yjbO	sigG	1	sigma factor
yerI	abrB	-1	TF
disA	sigM	1	sigma factor
disA	sigF	1	sigma factor
disA	sigB	1	sigma factor
disA	sigA	1	sigma factor
disA	ctsR	-1	TF+unstability
abfA	sigA	1	sigma factor
abfA	ccpA	-1	TF+PP+M
abfA	araR	-1	TF+M
ylmG	spo0A	-1	TF+PP
aspS	T-box-HIS	1	RNA switch
aspS	T-box-ASP	1	RNA switch
yxiO	phoP	1	TF+TC
yfhL	sigW	1	sigma factor
yfhL	sigB	1	sigma factor
radC	sigM	1	sigma factor
radC	comK	1	TF
rplNA	stringent response	-1	unk
yjaU	sigK	1	sigma factor
yxkC	sigD	1	sigma factor
yxkC	tnrA	1	TF+P+M
cotSA	sigK	1	sigma factor
gerPC	sigK	1	sigma factor
gerPC	gerE	-1	TF
spo0A	sigH	1	sigma factor
spo0A	sigA	1	sigma factor
spo0A	spo0A	-1	TF+PP
spo0A	sinR	-1	TF
spxA	sigX	1	sigma factor
spxA	sigW	1	sigma factor
spxA	sigM	1	sigma factor
spxA	sigB	1	sigma factor
spxA	sigA	1	sigma factor
spxA	perR	-1	TF+S
spxA	yodB	-1	TF+S
fliL	sigD	1	sigma factor
fliL	sigA	1	sigma factor
fliL	spo0A	-1	TF+PP
fliL	codY	-1	TF+M
bacD	sigH	1	sigma factor
bacD	scoC	-1	TF
bacD	codY	-1	TF+M
bacD	abrB	-1	TF
yfkJ	sigB	1	sigma factor
yfkJ	sigA	1	sigma factor
bipA	stringent response	-1	unk
ald	sigA	1	sigma factor
ald	adeR	1	TF-M
ytcQ	ccpA	0	TF+PP+M
ytcQ	rmgR	0	silico-TF+M
yjdF	manR	1	TF+PTS
yesP	yesS	0	TF+P+unk
yesP	ccpA	0	TF+PP+M
nasA	sigA	1	sigma factor
nasA	tnrA	1	TF+P+M
nasA	glnR	-1	TF+P+M
nasA	T-O2	1	unk
ybgB	sigY	1	sigma factor
hrcA	sigA	1	sigma factor
hrcA	hrcA	-1	TF+HrcA unstability
hrcA	arfM	0	TF
fliY	sigD	1	sigma factor
fliY	sigA	1	sigma factor
fliY	spo0A	-1	TF+PP
fliY	codY	-1	TF+M
pucL	sigA	1	sigma factor
pucL	tnrA	1	TF+P+M
pucL	pucR	1	TF+M
gutB	sigA	1	sigma factor
gutB	gutR	1	TF+M
treA	sigA	1	sigma factor
treA	treR	-1	TF+M
treA	phoP	1	TF+TC
treA	ccpA	-1	TF+PP+M
ylbC	sigF	1	sigma factor
ylbC	ccpA	0	TF+PP+M
acoL	sigL	1	sigma factor
acoL	sigK	1	sigma factor
acoL	ccpA	-1	TF+PP+M
acoL	acoR	1	TF+M
cheY	sigD	1	sigma factor
cheY	sigA	1	sigma factor
cheY	spo0A	-1	TF+PP
cheY	codY	-1	TF+M
mapA	stringent response	-1	unk
pdhC	sigA	1	sigma factor
pdhC	stringent response	-1	unk
prpB	sigE	1	sigma factor
prpB	ccpA	-1	TF+PP+M
prpB	spoIIID	-1	TF
trmU	sigA	1	sigma factor
trmU	stringent response	-1	unk
ntdA	sigA	1	sigma factor
ntdA	sigE	1	sigma factor
ntdA	ntdR	1	TF+M
ntdA	gerR	-1	TF
yddJ	abrB	-1	TF
dltE	sigX	1	sigma factor
dltE	sigM	1	sigma factor
dltE	sigD	1	sigma factor
dltE	yvrHb	1	TF+TC
dltE	stringent response	-1	unk
dltE	spo0A	-1	TF+PP
oppA	tnrA	1	TF+P+M
oppA	scoC	-1	TF
oppA	codY	0	TF+M
aag	sigB	1	sigma factor
nprE	scoC	-1	TF
nprE	abrB	-1	TF
nprE	tenA	1	unk
nprE	paiB	-1	unk
nprE	degU	1	TF+TC
yraF	sigG	1	sigma factor
dnaK	sigA	1	sigma factor
dnaK	hrcA	-1	TF+HrcA unstability
dnaK	arfM	0	TF
ysnE	sigE	1	sigma factor
ysnE	tnrA	0	TF+P+M
fadB	sigA	1	sigma factor
fadB	fadR	-1	TF+M
fadB	ccpA	-1	TF+PP+M
ycsI	sigK	1	sigma factor
ycsI	tnrA	1	TF+P+M
ycsI	kipR	-1	TF+unk
galE	sigA	1	sigma factor
mccB	sigK	1	sigma factor
mccB	sigA	1	sigma factor
mccB	spx	1	TF+S
mccB	cymR	-1	TF+P+M
ytpP	spx	1	TF+S
ydaD	sigB	1	sigma factor
ydaK	sigB	1	sigma factor
pucK	sigA	1	sigma factor
pucK	tnrA	1	TF+P+M
pucK	pucR	1	TF+M
ylmE	spo0A	-1	TF+PP
spoIVCA	sigE	1	sigma factor
spoIVCA	spoIIID	1	TF
spoIVCA	gerR	-1	TF
ytrC	sigA	1	sigma factor
ytrC	ytrA	-1	TF-M
xkdK	xpf	1	sigma factor
spoVAEB	sigG	1	sigma factor
spoVAEB	spoVT	1	TF
ylzI	sigD	1	sigma factor
ylzI	sigA	1	sigma factor
ylzI	spo0A	-1	TF+PP
ylzI	codY	-1	TF+M
lytE	sigI	1	sigma factor
lytE	sigH	1	sigma factor
lytE	sigA	1	sigma factor
lytE	walR	1	TF+TC
lytE	spo0A	-1	TF+PP
yesZ	yesS	1	TF+P+unk
yesZ	ccpA	0	TF+PP+M
ydjP	sigW	1	sigma factor
ydjP	sigE	1	sigma factor
appD	scoC	-1	TF
appD	codY	-1	TF+M
appD	tnrA	0	TF+P+M
spoIIQ	sigF	1	sigma factor
spoIIQ	codY	0	TF+M
mtnA	sigA	1	sigma factor
mtnA	S-box-SAM	-1	
mecA	sigA	1	sigma factor
yocN	sigE	1	sigma factor
hemD	sigA	1	sigma factor
hemD	perR	-1	TF+S
gerBA	sigG	1	sigma factor
gerBA	spoVT	-1	TF
glyS	T-box-GLY	1	RNA switch
mtnB	sigA	1	sigma factor
mtnB	S-box-SAM	-1	
levB	sigA	1	sigma factor
levB	sacY	1	P-AT+PTS
levB	degU	1	TF+TC
levB	tenA	1	unk
levB	sacT	1	P-AT+PTS
ypjB	sigE	1	sigma factor
ypjB	spoIIID	-1	TF
yqzL	tnrA	0	TF+P+M
bltD	sigA	1	sigma factor
bltD	mta	1	TF+M
bltD	bltR	1	TF+M
ypfB	sigF	1	sigma factor
yhdA	sigA	1	sigma factor
yhdA	sigE	1	sigma factor
yhdA	liaR	1	TF+TC
ylxL	sigD	1	sigma factor
ylxL	sigA	1	sigma factor
ylxL	spo0A	-1	TF+PP
ylxL	codY	-1	TF+M
ycbJ	ycbG	-1	TF+M
ycbJ	abrB	-1	TF
ykvU	sigE	1	sigma factor
ykvU	sigG	1	sigma factor
ykvU	spoIIID	-1	TF
yfhA	fur	-1	TF+M
guaC	sigK	1	sigma factor
guaC	sigA	1	sigma factor
guaC	purR	-1	TF+M
guaC	codY	1	TF+M
tcyL	sigA	1	sigma factor
tcyL	ytlI	1	TF+M
tcyL	cymR	-1	TF+P+M
tcyL	spx	-1	TF+S
gmuF	sigA	1	sigma factor
gmuF	gmuR	-1	TF+M
gmuF	ccpA	-1	TF+PP+M
gmuF	abrB	1	TF
adhA	adhR	1	TF+S
mntH	mntR	-1	TF+M
ycbC	ycbG	-1	TF+M
rtpA	sigA	1	sigma factor
rtpA	T-box-TRP	1	RNA switch
rtpA	TRAP	-1	RNA-BAP
alsD	sigA	1	sigma factor
alsD	stringent response	1	unk
alsD	rex	-1	TF+M
alsD	alsR	1	TF+M
alsD	ccpA	1	TF+PP+M
alsD	arfM	1	TF
sspF	sigG	1	sigma factor
bglP	sigA	1	sigma factor
bglP	licT	1	P-AT+PTS
bglP	ccpA	-1	TF+PP+M
sigA	sigH	1	sigma factor
sigA	sigD	1	sigma factor
sigA	sigB	1	sigma factor
sigA	spo0A	-1	TF+PP
comEC	sigA	1	sigma factor
comEC	comN	0	P-PTC
comEC	comK	1	TF
galK	ccpA	-1	TF+PP+M
yfmP	sigA	1	sigma factor
yfmP	yfmP	-1	TF+M
yocB	sigB	1	sigma factor
racE	sigK	1	sigma factor
gudD	ycbG	-1	TF+M
lepA	sigA	1	sigma factor
lepA	arfM	0	TF
prs	sigA	1	sigma factor
prs	stringent response	-1	unk
yoaD	S-box-SAM	-1	
infB	sigA	1	sigma factor
infB	stringent response	-1	unk
bdhA	abrB	-1	TF
yvyD	sigH	1	sigma factor
yvyD	sigB	1	sigma factor
minD	sigM	1	sigma factor
minD	sigH	1	sigma factor
ycdA	degU	1	TF+TC
ycdA	abrB	-1	TF
ycdA	abh	-1	TF
xkdG	xpf	1	sigma factor
spoVS	sigH	1	sigma factor
spoVS	codY	0	TF+M
yqeW	sigE	1	sigma factor
yqeW	spoIIID	-1	TF
araD	sigA	1	sigma factor
araD	ccpA	-1	TF+PP+M
araD	araR	-1	TF+M
glcD	ccpA	0	TF+PP+M
ywdK	tnrA	-1	TF+P+M
glpP	ccpA	-1	TF+PP+M
msrA	spx	1	TF+S
oppF	tnrA	1	TF+P+M
oppF	scoC	-1	TF
oppF	codY	0	TF+M
exoAA	sigG	1	sigma factor
spsC	sigK	1	sigma factor
spoVD	sigE	1	sigma factor
spoVD	spoIIID	-1	TF
thiQ	Thi-box	-1	riboswitch
spoIIAA	sigH	1	sigma factor
spoIIAA	sigG	1	sigma factor
spoIIAA	sigF	1	sigma factor
spoIIAA	spo0A	1	TF+PP
spoIIAA	sinR	-1	TF
spoIIAA	abrB	-1	TF
spoIIAA	spoVT	-1	TF
yodP	sigE	1	sigma factor
efeN	sigX	1	sigma factor
efeN	sigW	1	sigma factor
efeN	sigM	1	sigma factor
efeN	fur	-1	TF+M
yqxD	sigH	1	sigma factor
yqxD	sigB	1	sigma factor
yqxD	sigA	1	sigma factor
yqxD	sigD	1	sigma factor
yqxD	spo0A	-1	TF+PP
ykuV	abrB	-1	TF
uvrA	lexA	-1	TF-proteolyse
yheD	sigE	1	sigma factor
yheD	spoIIID	1	TF
ydhK	sigB	1	sigma factor
ydhK	csoR	0	TF+M
yoeA	sigH	1	sigma factor
nin	comK	1	TF
ycxD	ycxD	0	silico-TF+unk
yqaN	sigK	1	sigma factor
yqaN	sknR	-1	TF
yqzG	sigF	1	sigma factor
yqzG	abrB	-1	TF
yceH	sigX	1	sigma factor
yceH	sigW	1	sigma factor
yceH	sigM	1	sigma factor
yceH	sigB	1	sigma factor
yceH	sigA	1	sigma factor
glgP	sigE	1	sigma factor
glgP	sigH	1	sigma factor
yveA	sigG	1	sigma factor
yveA	sigA	1	sigma factor
yveA	sacY	1	P-AT+PTS
yveA	degU	1	TF+TC
yveA	spoVT	-1	TF
yveA	tenA	1	unk
yveA	sacT	1	P-AT+PTS
ythQ	sigW	1	sigma factor
ywjC	sigB	1	sigma factor
yjmC	sigE	1	sigma factor
yjmC	sigA	1	sigma factor
yjmC	exuR	-1	TF+M
yjmC	ccpA	-1	TF+PP+M
yjmC	spoIIID	-1	TF
yqfT	sigE	1	sigma factor
yqfT	spoIIID	1	TF
phrG	sigH	1	sigma factor
phrG	sigA	1	sigma factor
phrG	rghR	-1	TF
phrG	ccpA	-1	TF+PP+M
phrG	sinR	-1	TF
odhA	sigA	1	sigma factor
odhA	ccpA	-1	TF+PP+M
nrdE	sigA	1	sigma factor
nrdE	resD	1	TF+TC
nrdE	nrdR	0	silico-TF+M
pspA	sigW	1	sigma factor
pspA	abrB	-1	TF
yurJ	codY	-1	TF+M
yurJ	frlR	0	TF+M
phoB	sigE	1	sigma factor
phoB	sigA	1	sigma factor
phoB	phoP	1	TF+TC
phoB	spoIIID	-1	TF
phoB	gerR	-1	TF
kipA	sigK	1	sigma factor
kipA	tnrA	1	TF+P+M
kipA	kipR	-1	TF+unk
yxaL	rok	-1	TF
yxaL	abrB	-1	TF
efeU	sigX	1	sigma factor
efeU	sigW	1	sigma factor
efeU	fur	-1	TF+M
ytaF	sigE	1	sigma factor
yqfX	sigG	1	sigma factor
yqfX	spoVT	1	TF
mntA	mntR	-1	TF+M
srfAB	sigA	1	sigma factor
srfAB	spx	-1	TF+S
srfAB	perR	1	TF+S
srfAB	comA	1	TF+TC
srfAB	codY	-1	TF+M
srfAB	abh	-1	TF
yczG	yczG	0	silico-TF+unk
cysC	sigA	1	sigma factor
cysC	S-box-SAM	-1	
cysC	cymR	-1	TF+P+M
yotK	sigB	1	sigma factor
nfo	sigG	1	sigma factor
sigE	sigG	1	sigma factor
sigE	sigF	1	sigma factor
sigE	sigA	1	sigma factor
sigE	spo0A	1	TF+PP
sigE	sinR	-1	TF
sigE	spoVT	-1	TF
sigE	rsfA	1	P
rbfK	sigA	1	sigma factor
rbfK	ytlI	1	TF+M
rbfK	cymR	-1	TF+P+M
rbfK	spx	-1	TF+S
yvcA	degU	1	TF+TC
yvcA	abrB	-1	TF
sigW	abrB	-1	TF
bscR	sigX	1	sigma factor
bscR	sigW	1	sigma factor
bscR	sigM	1	sigma factor
bscR	fatR	-1	TF+M
bscR	abrB	-1	TF
spoVFA	sigK	1	sigma factor
yuiC	sigF	1	sigma factor
yuiC	codY	-1	TF+M
yuiC	tnrA	0	TF+P+M
prpC.1	sigE	1	sigma factor
prpC.1	ccpA	-1	TF+PP+M
prpC.1	spoIIID	-1	TF
ytlC	sigK	1	sigma factor
yfmI	spo0A	1	TF+PP
yfmI	abrB	-1	TF
ribD	sigA	1	sigma factor
ribD	FMN-box	-1	riboswitch
thrS	sigA	1	sigma factor
thrS	T-box-THR	1	RNA switch
fhuB	fur	-1	TF+M
yhaO	lexA	-1	TF-proteolyse
pta	sigA	1	sigma factor
pta	ccpA	1	TF+PP+M
gerD	sigG	1	sigma factor
gerD	sigF	1	sigma factor
gerD	spoVT	1	TF
ykuS	sigF	1	sigma factor
ydfK	sigA	1	sigma factor
ydfK	mta	1	TF+M
ydfK	ydfL	0	silico-TF+unk
valS	sigA	1	sigma factor
valS	T-box-VAL	1	RNA switch
ytxC	sigE	1	sigma factor
ytxC	spoIIID	-1	TF
yhbA	sigF	1	sigma factor
yqxA	sigF	1	sigma factor
yqxA	sigE	1	sigma factor
yqxA	gerR	-1	TF
yqxA	gerE	-1	TF
proJ	sigK	1	sigma factor
proJ	sigE	1	sigma factor
bacA	sigH	1	sigma factor
bacA	scoC	-1	TF
bacA	codY	-1	TF+M
bacA	abrB	-1	TF
opuBA	sigA	1	sigma factor
opuBA	gbsR	-1	TF+M
opuBA	codY	0	TF+M
opuBA	yvbF/YvaV	0	silico-TF+unk
ymaE	abrB	-1	TF
nasB	sigA	1	sigma factor
nasB	tnrA	1	TF+P+M
nasB	glnR	-1	TF+P+M
nasB	T-O2	1	unk
sdpI	sigA	1	sigma factor
sdpI	sdpR	-1	TF+P
sdpI	abrB	-1	TF
fliI	sigD	1	sigma factor
fliI	sigA	1	sigma factor
fliI	spo0A	-1	TF+PP
fliI	codY	-1	TF+M
cgeB	sigK	1	sigma factor
cgeB	gerE	1	TF
cgeB	gerR	1	TF
ctc	sigB	1	sigma factor
ctc	sigA	1	sigma factor
pyrH	stringent response	-1	unk
yteR	rmgR	0	silico-TF+M
mreBH	sigI	1	sigma factor
degR	sigD	1	sigma factor
degR	comK	-1	TF
ylbJ	sigE	1	sigma factor
ylbJ	spoIIID	-1	TF
degQ	sigA	1	sigma factor
degQ	degU	1	TF+TC
degQ	comA	1	TF+TC
ymaH	sigH	1	sigma factor
fabHA	sigA	1	sigma factor
fabHA	fapR	-1	TF+M
epsM	sigA	1	sigma factor
epsM	sigH	1	sigma factor
epsM	sinR	-1	TF
epsM	eAR	0	RNA antiterminator
epsM	abrB	-1	TF
frlR	frlR	0	TF+M
ywlG	tnrA	-1	TF+P+M
yfnF	sigK	1	sigma factor
yfnF	sigE	1	sigma factor
fer	fur	0	TF+M
yxkD	sigK	1	sigma factor
yxkD	RNA - ykkC-yxkD	0	silico-riboswitch
ftsZ	sigH	1	sigma factor
ftsZ	sigA	1	sigma factor
ftsZ	walR	1	TF+TC
ftsZ	abrB	-1	TF
yrvD	sigB	1	sigma factor
yitJ	S-box-SAM	-1	
lcfB	sigA	1	sigma factor
lcfB	fadR	-1	TF+M
lcfB	ccpA	-1	TF+PP+M
yrrL	spo0A	-1	TF+PP
yqfC	sigE	1	sigma factor
yqfC	spoIIID	-1	TF
pbuG	purR	-1	TF+M
pbuG	G-box-HXTX	1	riboswitch
pbuG	G-box-GUA	1	riboswitch
comGA	sigA	1	sigma factor
comGA	comK	1	TF
comGA	comZ	-1	TF
carA	sigA	1	sigma factor
carA	ahrC	-1	TF+M
carA	abrB	1	TF
carA	tnrA	0	TF+P+M
pbpI	sigF	1	sigma factor
pbpI	sigE	1	sigma factor
fliK	sigD	1	sigma factor
fliK	sigA	1	sigma factor
fliK	spo0A	-1	TF+PP
fliK	codY	-1	TF+M
hutM	sigA	1	sigma factor
hutM	hutP	1	P-AT+M
hutM	codY	-1	TF+M
hutM	ccpA	-1	TF+PP+M
tlpC	sigD	1	sigma factor
ycxA	comA	1	TF+TC
dhbA	sigA	1	sigma factor
dhbA	fur	-1	TF+M
dhbA	abrB	-1	TF
mtnW	sigA	1	sigma factor
mtnW	S-box-SAM	-1	
ywoB	ytrA	-1	TF-M
paiA	yybA	0	silico-TF+unk
pstBA	phoP	1	TF+TC
msmX	ccpA	-1	TF+PP+M
gerT	sigK	1	sigma factor
fabG	sigA	1	sigma factor
fabG	fapR	-1	TF+M
fabG	comA	1	TF+TC
yhdK	sigM	1	sigma factor
yhdK	sigA	1	sigma factor
ymfF	mta	1	TF+M
ytxH	sigH	1	sigma factor
ytxH	sigB	1	sigma factor
yodD	mhqR	-1	TF+M
gmuA	sigA	1	sigma factor
gmuA	gmuR	-1	TF+M
gmuA	ccpA	-1	TF+PP+M
gmuA	abrB	1	TF
ykpC	sigE	1	sigma factor
yxdM	yxdJ	1	TF+TC
purC	sigA	1	sigma factor
purC	purR	-1	TF+M
purC	G-box-HXTX	1	riboswitch
purC	G-box-GUA	1	riboswitch
seaA	sigF	1	sigma factor
rplA	stringent response	-1	unk
gltA	sigA	1	sigma factor
gltA	tnrA	-1	TF+P+M
gltA	gltC	1	TF+M
gltA	fsrA	-1	small regulatory RNA
gltA	gltR	1	unk
gltA	gltC2	-1	TF+M
gltA	gltC1	1	TF+M
gltA	gltC0	1	TF+M
ytsJ	lexA	0	TF-proteolyse
ydeJ	abrB	-1	TF
yciB	sigA	1	sigma factor
yciB	zur	-1	TF+M
ywcB	sigE	1	sigma factor
ywcB	spoIIID	-1	TF
pdhB	sigA	1	sigma factor
pdhB	stringent response	-1	unk
yisY	sigG	1	sigma factor
ywqF	sigE	1	sigma factor
yusP	mdtR	-1	TF+M
comFA	sigA	1	sigma factor
comFA	sigD	1	sigma factor
comFA	comK	1	TF
rpmA	L21_leader	0	silico-RNA switch
yvcR	psdR	1	TF+TC
ytkC	codY	0	TF+M
rapD	sigX	1	sigma factor
rapD	sigM	1	sigma factor
rapD	sigA	1	sigma factor
rapD	rghR	-1	TF
yotN	sigE	1	sigma factor
glnQ	sigE	1	sigma factor
glnQ	tnrA	1	TF+P+M
glnQ	codY	0	TF+M
yvqK	RNA - Cobalamin	0	silico-riboswitch
yotD	csoR	-1	TF+M
yjcL	codY	0	TF+M
mgtE	sigK	1	sigma factor
mgtE	M-box	-1	riboswitch
yclP	fur	-1	TF+M
yxaF	qdor	-1	TF+M
yxaF	lmrA	-1	TF+M
tilS	sigM	1	sigma factor
yckD	sigG	1	sigma factor
yckD	sigF	1	sigma factor
yckD	spoVT	-1	TF
cotW	sigK	1	sigma factor
cotW	gerE	1	TF
cotW	spoIIID	-1	TF
fadN	sigA	1	sigma factor
fadN	sdpR	1	TF+P
fadN	fadR	-1	TF+M
fadN	ccpA	-1	TF+PP+M
ythP	sigW	1	sigma factor
tenA	Thi-box	-1	riboswitch
tenA	tenI	-1	unk
vpr	sigH	1	sigma factor
vpr	phoP	1	TF+TC
vpr	lexA	-1	TF-proteolyse
ydgA	sigK	1	sigma factor
ydgA	gerE	-1	TF
yteT	rmgR	0	silico-TF+M
yhaZ	lexA	-1	TF-proteolyse
usd	sigE	1	sigma factor
fliS	sigD	1	sigma factor
yhdL	sigM	1	sigma factor
yhdL	sigA	1	sigma factor
qoxA	stringent response	-1	unk
ywhK	sigK	1	sigma factor
trpE	sigA	1	sigma factor
trpE	TRAP	-1	RNA-BAP
ywmE	sigB	1	sigma factor
glxK	abrB	-1	TF
ykgB	sigB	1	sigma factor
yqhP	sigF	1	sigma factor
yqhP	sigB	1	sigma factor
atpG	stringent response	-1	unk
resB	sigA	1	sigma factor
resB	resD	1	TF+TC
resB	phoP	1	TF+TC
resB	ccpA	-1	TF+PP+M
lytA	sigD	1	sigma factor
lytA	sigA	1	sigma factor
lytA	yvrHb	-1	TF+TC
lytA	slrR	-1	TF
lytA	lytR	-1	TF
ispG	sigE	1	sigma factor
ispG	spoIIID	-1	TF
rpmC	stringent response	-1	unk
cotG	sigK	1	sigma factor
cotG	sigE	1	sigma factor
cotG	gerR	1	TF
cotG	gerE	1	TF
maf	comK	1	TF
mleN	ccpA	-1	TF+PP+M
mleN	ansR	-1	TF+M
ilvH	sigA	1	sigma factor
ilvH	tnrA	-1	TF+P+M
ilvH	codY	-1	TF+M
ilvH	ccpA	1	TF+PP+M
ilvH	T-box-LEU	1	RNA switch
liaR	sigA	1	sigma factor
liaR	liaR	1	TF+TC
liaR	abrB	-1	TF
addA	sigA	1	sigma factor
addA	comK	1	TF
cwlJ	sigE	1	sigma factor
cwlJ	spoIIID	1	TF
yesM	sigH	1	sigma factor
yesM	ccpA	-1	TF+PP+M
tgl	sigK	1	sigma factor
ywhA	sigA	1	sigma factor
ywhA	T-box-THR	1	RNA switch
sspH	sigG	1	sigma factor
sspH	ccpA	-1	TF+PP+M
spsK	sigK	1	sigma factor
spsK	sigE	1	sigma factor
gatC	sigA	1	sigma factor
gatC	T-box-GLN	1	RNA switch
gatC	codY	0	TF+M
gatC	ccpA	0	TF+PP+M
iolT	sigA	1	sigma factor
iolT	iolR	-1	TF+M
iolT	ccpA	-1	TF+PP+M
yoaA	sigB	1	sigma factor
thrC	codY	0	TF+M
purF	sigA	1	sigma factor
purF	purR	-1	TF+M
purF	G-box-HXTX	1	riboswitch
purF	G-box-GUA	1	riboswitch
tuaA	sigA	1	sigma factor
tuaA	phoP	1	TF+TC
ygzA	sigG	1	sigma factor
yhfN	sigE	1	sigma factor
yhfN	spoIIID	-1	TF
nadE	sigB	1	sigma factor
nadE	sigA	1	sigma factor
tetB	sigA	1	sigma factor
cypB	sigX	1	sigma factor
cypB	sigW	1	sigma factor
cypB	sigM	1	sigma factor
cypB	fatR	-1	TF+M
cypB	abrB	-1	TF
pucG	sigA	1	sigma factor
pucG	pucR	1	TF+M
trpD	sigA	1	sigma factor
trpD	TRAP	-1	RNA-BAP
tlpB	sigD	1	sigma factor
yhjD	lexA	-1	TF-proteolyse
bkdR	codY	-1	TF+M
bkdR	bkdR	0	TF+M
yvaV	yvbF/YvaV	0	silico-TF+unk
bacE	sigH	1	sigma factor
bacE	scoC	-1	TF
bacE	codY	-1	TF+M
bacE	abrB	-1	TF
yodI	sigK	1	sigma factor
bsn	phoP	1	TF+TC
bsn	abrB	-1	TF
yjcP	sigD	1	sigma factor
mtlD	mtlR	1	TF+PTS
mtlD	ccpA	0	TF+PP+M
comS	sigA	1	sigma factor
comS	spx	-1	TF+S
comS	perR	1	TF+S
comS	comA	1	TF+TC
comS	codY	-1	TF+M
comS	abh	-1	TF
hisC	sigA	1	sigma factor
hisC	TRAP	-1	RNA-BAP
sbcD	comK	1	TF
fliH	sigD	1	sigma factor
fliH	sigA	1	sigma factor
fliH	spo0A	-1	TF+PP
fliH	codY	-1	TF+M
spoVFB	sigK	1	sigma factor
med	sigA	1	sigma factor
med	spo0A	-1	TF+PP
yxbD	spo0A	1	TF+PP
yxbD	codY	-1	TF+M
yxbD	abrB	-1	TF
yvyC	sigD	1	sigma factor
fliT	sigD	1	sigma factor
yycD	sigB	1	sigma factor
yabQ	sigE	1	sigma factor
yabQ	sigX	1	sigma factor
yabQ	sigW	1	sigma factor
yabQ	spoIIID	-1	TF
nagP	ybgA	0	TF+M
yhdN	sigB	1	sigma factor
skfC	spo0A	1	TF+PP
skfC	phoP	1	TF+TC
skfC	abrB	-1	TF
ribE	sigA	1	sigma factor
ribE	FMN-box	-1	riboswitch
gabT	sigA	1	sigma factor
gabT	sigB	1	sigma factor
gabT	gabR	1	TF+M
glmS	sigA	1	sigma factor
glmS	glmS ribozyme	-1	riboswitch (glmS ribozyme)
kapD	sigK	1	sigma factor
kapD	sigE	1	sigma factor
kapD	gerR	-1	TF
kapD	codY	0	TF+M
ysdB	sigW	1	sigma factor
ysdB	sigB	1	sigma factor
trxA	sigB	1	sigma factor
trxA	sigA	1	sigma factor
trxA	spx	1	TF+S
trxA	ctsR	-1	TF+unstability
bglC	sigA	1	sigma factor
bglC	bglZ	0	silico-TF+M
rsiW	sigW	1	sigma factor
rsiW	abrB	-1	TF
amyC	ccpA	-1	TF+PP+M
amyC	msmR	0	silico-TF+M
ftsH	sigM	1	sigma factor
ftsH	sigA	1	sigma factor
yteP	rmgR	0	silico-TF+M
cssS	sigA	1	sigma factor
cssS	cssR	1	TF+TC
cdoA	sigK	1	sigma factor
maeA	sigA	1	sigma factor
maeA	malR	1	TF+TC
speE	sigA	1	sigma factor
iscS	sigA	1	sigma factor
iscS	stringent response	-1	unk
nupC	sigK	1	sigma factor
nupC	sigA	1	sigma factor
nupC	deoR	-1	TF+M
nupC	ccpA	-1	TF+PP+M
cwlO	walR	1	TF+TC
phrH	sigA	1	sigma factor
phrH	rghR	-1	TF
phrH	comK	1	TF
ytrE	sigA	1	sigma factor
ytrE	ytrA	-1	TF-M
ykkD	RNA - ykkC-yxkD	0	silico-riboswitch
