Name,Locus_tag,StartV3,EndV3,Strand,classif
S399,S399,new_1204423_1204697_c,1204423,1204697,-1,3'UTR
yjzC,yjzC,BSU11260,1204506,1204685,1,-
yjzD,yjzD,BSU11270,1204731,1204916,-1,-
yjaU,yjaU,BSU11280,1205165,1205899,1,-
S400,S400,new_1205658_1206260_c,1205658,1206260,-1,indep-Ext
yjaV,yjaV,BSU11290,1205981,1206538,1,-
med,med,BSU11300,1206629,1207582,1,-
comZ,comZ,BSU11310,1207597,1207788,1,-
S401,S401,new_1207812_1208152,1207812,1208152,1,inter
yjzB,yjzB,BSU11320,1207818,1208057,-1,-
fabHA,fabHA,BSU11330,1208222,1209160,1,-
fabF,fabF,BSU11340,1209183,1210424,1,-
yjaZ,yjaZ,BSU11350,1210500,1211285,1,-
S402,S402,new_1211286_1211370,1211286,1211370,1,inter
S403,S403,new_1211372_1211476,1211372,1211476,1,5'
appD,appD,BSU11360,1211477,1212463,1,-
appF,appF,BSU11370,1212460,1213449,1,-
S404,S404,new_1213460_1213536,1213460,1213536,1,5'
appA,appA,BSU11381,1213537,1214001,1,-
appA.1,appA,BSU11382,1214001,1215167,1,-
appB,appB,BSU11390,1215243,1216193,1,-
appC,appC,BSU11400,1216210,1217121,1,-
S405,S405,new_1217180_1217287,1217180,1217287,1,inter
yjbA,yjbA,BSU11410,1217326,1218078,1,-
trpS,trpS,BSU11420,1218113,1219105,-1,-
X.9,NA,BSU_misc_RNA_13,1219164,1219378,-1,-
S406,S406,new_1219686_1219848,1219686,1219848,1,5'
oppA,oppA,BSU11430,1219849,1221486,1,-
S407,S407,new_1221487_1221593,1221487,1221593,1,inter
oppB,oppB,BSU11440,1221594,1222529,1,-
oppC,oppC,BSU11450,1222533,1223450,1,-
oppD,oppD,BSU11460,1223455,1224531,1,-
oppF,oppF,BSU11470,1224533,1225450,1,-
yjbB,yjbB,BSU11480,1225557,1226774,1,-
S408,S408,new_1226858_1226937,1226858,1226937,1,5'
yjbC,yjbC,BSU11490,1226938,1227516,1,-
S409,S409,new_1227517_1227631,1227517,1227631,1,inter
spxA,spxA,BSU11500,1227697,1228092,1,-
yjbE,yjbE,BSU11510,1228135,1228791,-1,-
S410,S410,new_1228135_1228924,1228135,1228924,1,inter
S411,S411,new_1228926_1229067,1228926,1229067,1,5'
mecA,mecA,BSU11520,1229068,1229724,1,-
S412,S412,new_1229759_1229848,1229759,1229848,1,inter
S413,S413,new_1229850_1229914,1229850,1229914,1,5'
coiA,coiA,BSU11530,1229915,1231036,1,-
pepF,pepF,BSU11540,1231083,1233095,1,-
S414,S414,new_1233096_1233397,1233096,1233397,1,inter
yizD,yizD,BSU11549,1233133,1233300,-1,-
S415,S415,new_1233399_1233524,1233399,1233524,1,indep
yjbH,yjbH,BSU11550,1233614,1234513,-1,-
S416,S416,new_1233877_1235778,1233877,1235778,1,indep-Ext
yjbI,yjbI,BSU11560,1234510,1234908,-1,-
S417,S417,new_1234909_1235088_c,1234909,1235088,-1,5'
yjbJ,yjbJ,BSU11570,1235163,1235708,-1,-
S418,S418,new_1235709_1235911_c,1235709,1235911,-1,intra
yjbK,yjbK,BSU11580,1235912,1236484,-1,-
yjbL,yjbL,BSU11590,1236609,1236977,1,-
yjbM,yjbM,BSU11600,1237006,1237641,1,-
ppnKA,ppnKA,BSU11610,1237660,1238460,1,-
yjbO,yjbO,BSU11620,1238523,1239374,1,-
prpE,prpE,BSU11630,1239387,1240121,-1,-
S419,S419,new_1240279_1240355,1240279,1240355,1,5'
yjbQ,yjbQ,BSU11640,1240356,1242200,1,-
X.10,NA,BSU_misc_RNA_14,1242262,1242370,1,-
tenA,tenA,BSU11650,1242449,1243159,1,-
tenI,tenI,BSU11660,1243134,1243751,1,-
thiO,thiO,BSU11670,1243735,1244844,1,-
thiS,thiS,BSU11680,1244844,1245044,1,-
thiG,thiG,BSU11690,1245041,1245811,1,-
thiF,thiF,BSU11700,1245808,1246818,1,-
thiD,thiD,BSU11710,1246837,1247652,1,-
fabI,fabI,BSU11720,1247788,1248564,1,-
cotO,cotO,BSU11730,1248665,1249348,1,-
cotZ,cotZ,BSU11740,1249442,1249888,-1,-
S420,S420,new_1249889_1250015_c,1249889,1250015,-1,intra
cotY,cotY,BSU11750,1250016,1250504,-1,-
cotX,cotX,BSU11760,1250656,1251174,-1,-
S421,S421,new_1251175_1251272_c,1251175,1251272,-1,intra
cotW,cotW,BSU11770,1251273,1251590,-1,-
cotV,cotV,BSU11780,1251631,1252017,-1,-
S422,S422,new_1252061_1252565_c,1252061,1252565,-1,5'
yjcA,yjcA,BSU11790,1252177,1252533,1,-
S423,S423,new_1252566_1252752,1252566,1252752,1,indep
yjzK,yjzK,BSU11799,1252815,1253021,1,-
yjcZ,yjcZ,BSU11809,1253103,1253252,1,-
S424,S424,new_1253253_1253384,1253253,1253384,1,inter
spoVIF,spoVIF,BSU11810,1253385,1253639,1,-
S425,S425,new_1253669_1254769,1253669,1254769,1,3'PT
yjcD,yjcD,BSU11820,1253713,1255866,-1,-
S426,S426,new_1255867_1256041_c,1255867,1256041,-1,5'
S427,S427,new_1255943_1256078,1255943,1256078,1,5'
yjzE,yjzE,BSU11839,1256109,1256363,1,-
yjcF,yjcF,BSU11840,1256436,1256858,-1,-
yjcG,yjcG,BSU11850,1256862,1257377,-1,-
yjcH,yjcH,BSU11860,1257414,1258136,-1,-
X.11,NA,BSU_misc_RNA_15,1258304,1258424,1,-
metI,metI,BSU11870,1258492,1259613,1,-
metC,metC,BSU11880,1259606,1260778,1,-
S428,S428,new_1260806_1262335,1260806,1262335,1,3'PT
yjcK,yjcK,BSU11890,1260811,1261356,-1,-
yjcL,yjcL,BSU11900,1261426,1262616,-1,-
trnSL.Val2,trnSL-Val2,BSU_tRNA_83,1262789,1262861,1,-
S429,S429,new_1262876_1263611_c,1262876,1263611,-1,3'UTR
S430,S430,new_1262896_1264544,1262896,1264544,1,3'PT
S431,S431,new_1263613_1263701_c,1263613,1263701,-1,3'UTR
yjcM,yjcM,BSU11910,1263702,1264931,-1,-
S432,S432,new_1264932_1265017_c,1264932,1265017,-1,5'
yjcN,yjcN,BSU11920,1265057,1265377,1,-
S433,S433,new_1265432_1265529,1265432,1265529,1,inter
yjzF,yjzF,BSU11928,1265530,1265661,1,-
yjzG,yjzG,BSU11929,1265677,1265850,1,-
yjcO,yjcO,BSU11930,1265887,1266348,1,-
S434,S434,new_1266349_1266589,1266349,1266589,1,5'
yjcP,yjcP,BSU11940,1266614,1267117,1,-
yjcQ,yjcQ,BSU11950,1267129,1267413,1,-
yjcR,yjcR,BSU11960,1267574,1268101,1,-
yjcS,yjcS,BSU11970,1268275,1268592,1,-
S435,S435,new_1268593_1268828,1268593,1268828,1,intra
yjdA,yjdA,BSU11980,1268829,1269584,1,-
S436,S436,new_1269585_1269672,1269585,1269672,1,3'UTR
S437,S437,new_1269672_1269732_c,1269672,1269732,-1,3'UTR
yjdB,yjdB,BSU11990,1269733,1270080,-1,-
S438,S438,new_1270127_1270583_c,1270127,1270583,-1,5'
manR,manR,BSU12000,1270631,1272577,1,-
manP,manP,BSU12010,1272725,1274677,1,-
manA,manA,BSU12020,1274692,1275639,1,-
S439,S439,new_1275640_1275738,1275640,1275738,1,inter
S440,S440,new_1275740_1275808,1275740,1275808,1,5'
yjdF,yjdF,BSU12030,1275809,1276291,1,-
yjdG,yjdG,BSU12040,1276337,1276843,-1,-
S441,S441,new_1276876_1277061_c,1276876,1277061,-1,inter
yjdH,yjdH,BSU12050,1277062,1277457,-1,-
S442,S442,new_1277495_1278195_c,1277495,1278195,-1,inter
yjdI,yjdI,BSU12060,1277686,1278165,1,-
yjzH,yjzH,BSU12069,1278205,1278399,-1,-
yjdJ,yjdJ,BSU12070,1278565,1278894,-1,-
S443,S443,new_1278946_1279513_c,1278946,1279513,-1,inter
S444,S444,new_1279022_1279523,1279022,1279523,1,indep-Ext
ctaO,ctaO,BSU12080,1279514,1280503,-1,-
cotT,cotT,BSU12090,1280626,1280949,-1,-
S445,S445,new_1281024_1281127,1281024,1281127,1,5'
yjeA,yjeA,BSU12100,1281128,1282531,1,-
yjfA,yjfA,BSU12110,1282571,1283044,-1,-
yjfB,yjfB,BSU12120,1283169,1283336,-1,-
yjfC,yjfC,BSU12130,1283463,1284362,1,-
yjgA,yjgA,BSU12140,1284371,1284769,-1,-
yjgB,yjgB,BSU12150,1284870,1285445,-1,-
yjgC,yjgC,BSU12160,1285591,1288548,1,-
yjgD,yjgD,BSU12170,1288541,1289101,1,-
S446,S446,new_1289139_1289257,1289139,1289257,1,inter
yjhA,yjhA,BSU12180,1289298,1289939,1,-
yjhB,yjhB,BSU12190,1290018,1290644,1,-
yjiA,yjiA,BSU12200,1290675,1290953,-1,-
S447,S447,new_1291003_1291419_c,1291003,1291419,-1,5'
S448,S448,new_1291189_1291343,1291189,1291343,1,5'
yjiB,yjiB,BSU12210,1291344,1292534,1,-
yjiC,yjiC,BSU12220,1292557,1293735,1,-
yjzI,yjzI,BSU12229,1293776,1293964,-1,-
yjjA,yjjA,BSU12230,1294138,1294950,1,-
yjkA,yjkA,BSU12240,1294996,1295748,-1,-
yjkB,yjkB,BSU12250,1295748,1296500,-1,-
yjlA,yjlA,BSU12260,1296620,1297594,-1,-
S449,S449,new_1297643_1300149_c,1297643,1300149,-1,5'
yjlB,yjlB,BSU12270,1297726,1298223,1,-
S450,S450,new_1298224_1298337,1298224,1298337,1,inter
S451,S451,new_1298339_1298611,1298339,1298611,1,5'
rex.1,rex,BSU12280,1298612,1299034,1,-
ndh,ndh,BSU12290,1299074,1300252,1,-
uxaC,uxaC,BSU12300,1300450,1301871,1,-
exuM,exuM,BSU12310,1301939,1303318,1,-
S452,S452,new_1303355_1303422,1303355,1303422,1,5'
yjmC,yjmC,BSU12320,1303423,1304436,1,-
yjmD,yjmD,BSU12330,1304442,1305461,1,-
uxuA,uxuA,BSU12340,1305486,1306565,1,-
uxuB,uxuB,BSU12350,1306562,1307398,1,-
exuT,exuT,BSU12360,1307446,1308714,1,-
exuR,exuR,BSU12370,1308802,1309803,1,-
uxaB,uxaB,BSU12380,1309880,1311322,1,-
uxaA,uxaA,BSU12390,1311319,1312812,1,-
yjnA,yjnA,BSU12400,1312851,1313615,-1,-
S453,S453,new_1313663_1313744_c,1313663,1313744,-1,5'
yjoA,yjoA,BSU12410,1313840,1314304,-1,-
yjoB,yjoB,BSU12420,1314453,1315724,1,-
rapA,rapA,BSU12430,1315869,1317005,1,-
phrA,phrA,BSU12440,1316995,1317129,1,-
yjpA,yjpA,BSU12450,1317157,1317414,-1,-
xlyB,xlyB,BSU12460,1317535,1318488,1,-
yjqA,yjqA,BSU12470,1318528,1318905,-1,-
yjqB,yjqB,BSU12480,1319011,1319613,1,-
S454,S454,new_1319640_1320569_c,1319640,1320569,-1,3'Ext
yjqC,yjqC,BSU12490,1319690,1320526,1,-
xkdA,xkdA,BSU12500,1320570,1321166,-1,-
S455,S455,new_1321205_1321328_c,1321205,1321328,-1,3'UTR
xre,xre,BSU12510,1321329,1321670,-1,-
yjzJ,yjzJ,BSU12519,1321848,1322027,1,-
xkdB,xkdB,BSU12520,1322014,1322850,1,-
xkdC,xkdC,BSU12530,1322750,1323550,1,-
ykzK,ykzK,BSU12539,1323550,1323717,1,-
xkdD,xkdD,BSU12540,1323802,1324152,1,-
xtrA,xtrA,BSU12550,1324149,1324355,1,-
xpf,xpf,BSU12560,1324471,1324980,1,-
S456,S456,new_1325005_1325095,1325005,1325095,1,5'
xtmA,xtmA,BSU12570,1325096,1325893,1,-
xtmB,xtmB,BSU12580,1325890,1327191,1,-
xkdE,xkdE,BSU12590,1327195,1328682,1,-
xkdF,xkdF,BSU12600,1328702,1329529,1,-
xkdG,xkdG,BSU12610,1329555,1330490,1,-
ykzL,ykzL,BSU12619,1330512,1330895,1,-
xkdH,xkdH,BSU12620,1330892,1331248,1,-
xkdI,xkdI,BSU12630,1331245,1331730,1,-
xkdJ,xkdJ,BSU12640,1331743,1332183,1,-
ykzM,ykzM,BSU12649,1332187,1332405,1,-
xkdK,xkdK,BSU12650,1332402,1333802,1,-
xkdM,xkdM,BSU12660,1333804,1334247,1,-
S457,S457,new_1334248_1334338,1334248,1334338,1,intra
xkdN,xkdN,BSU12671,1334339,1334785,1,-
xkzB,xkzB,BSU12672,1334815,1334964,1,-
xkdO,xkdO,BSU12680,1334966,1338964,1,-
xkdP,xkdP,BSU12690,1338957,1339616,1,-
xkdQ,xkdQ,BSU12700,1339632,1340609,1,-
xkdR,xkdR,BSU12710,1340609,1340875,1,-
xkdS,xkdS,BSU12720,1340932,1341357,1,-
xkdT,xkdT,BSU12730,1341350,1342396,1,-
xkdU,xkdU,BSU12740,1342380,1342958,1,-
xkzA,xkzA,BSU12749,1342955,1343227,1,-
xkdV,xkdV,BSU12750,1343230,1345293,1,-
xkdW,xkdW,BSU12760,1345305,1345634,1,-
xkdX,xkdX,BSU12770,1345631,1345795,1,-
xepA,xepA,BSU12780,1345839,1346678,1,-
xhlA,xhlA,BSU12790,1346731,1347000,1,-
xhlB,xhlB,BSU12800,1347013,1347276,1,-
xlyA,xlyA,BSU12810,1347289,1348182,1,-
S458,S458,new_1348200_1348403_c,1348200,1348403,-1,indep
spoIISB,spoIISB,BSU12820,1348442,1348612,-1,-
spoIISA,spoIISA,BSU12830,1348612,1349358,-1,-
pit,pit,BSU12840,1349468,1350469,-1,-
ykaA,ykaA,BSU12850,1350482,1351099,-1,-
S459,S459,new_1351139_1351236_c,1351139,1351236,-1,5'
ykbA,ykbA,BSU12860,1351375,1352691,-1,-
S460,S460,new_1353008_1353079,1353008,1353079,1,5'
mhqA,mhqA,BSU12870,1353080,1354030,1,-
ykcB,ykcB,BSU12880,1354285,1356435,1,-
ykcC,ykcC,BSU12890,1356447,1357418,1,-
S461,S461,new_1356775_1357416_c,1356775,1357416,-1,3'PT
S462,S462,new_1357486_1357852_c,1357486,1357852,-1,indep
htrA,htrA,BSU12900,1357936,1359285,-1,-
S463,S463,new_1359357_1359439_c,1359357,1359439,-1,5'
proG,proG,BSU12910,1359454,1360272,1,-
dppA,dppA,BSU12920,1360401,1361225,1,-
dppB,dppB,BSU12930,1361242,1362168,1,-
dppC,dppC,BSU12940,1362174,1363136,1,-
dppD,dppD,BSU12950,1363141,1364148,1,-
dppE,dppE,BSU12960,1364151,1365800,1,-
ykfA,ykfA,BSU12970,1365888,1366847,1,-
ykfB,ykfB,BSU12980,1366844,1367944,1,-
ykfC,ykfC,BSU12990,1367941,1368831,1,-
ykfD,ykfD,BSU13000,1368844,1369833,1,-
S464,S464,new_1369127_1369854_c,1369127,1369854,-1,3'PT
S465,S465,new_1369868_1371036,1369868,1371036,1,3'PT
ykgB,ykgB,BSU13010,1369876,1370925,-1,-
ykgA,ykgA,BSU13020,1371015,1371875,-1,-
ykhA,ykhA,BSU13030,1372035,1372553,1,-
S466,S466,new_1372636_1372742,1372636,1372742,1,5'
hmp,hmp,BSU13040,1372792,1373991,1,-
S467,S467,new_1374025_1374396,1374025,1374396,1,inter
ykzH,ykzH,BSU13050,1374068,1374292,-1,-
ykjA,ykjA,BSU13060,1374437,1375168,1,-
ykkA,ykkA,BSU13070,1375260,1375787,1,-
ykkB,ykkB,BSU13080,1375777,1376295,1,-
X.12,NA,BSU_misc_RNA_16,1376328,1376439,1,-
ykkC,ykkC,BSU13090,1376517,1376855,1,-
ykkD,ykkD,BSU13100,1376855,1377172,1,-
purU,purU,BSU13110,1377243,1378145,1,-
X.13,NA,BSU_misc_RNA_17,1378233,1378443,1,-
proB,proB,BSU13120,1378496,1379593,1,-
proA,proA,BSU13130,1379605,1380852,1,-
ohrA,ohrA,BSU13140,1380978,1381403,1,-
ohrR,ohrR,BSU13150,1381434,1381877,-1,-
ohrB,ohrB,BSU13160,1382020,1382430,1,-
ykzN,ykzN,BSU13169,1382457,1382627,1,-
S468,S468,new_1382628_1383305,1382628,1383305,1,3'UTR
guaD,guaD,BSU13170,1382677,1383147,-1,-
S469,S469,new_1383187_1383294_c,1383187,1383294,-1,inter
metE,metE,BSU13180,1383320,1385608,-1,-
S470,S470,new_1385609_1385671_c,1385609,1385671,-1,5'
X.14,NA,BSU_misc_RNA_18,1385736,1385891,-1,-
S471,S471,new_1385938_1386023_c,1385938,1386023,-1,inter
ispA,ispA,BSU13190,1386024,1386983,-1,-
S472,S472,new_1386984_1387035_c,1386984,1387035,-1,5'
rsbRB,rsbRB,BSU13200,1387206,1388039,1,-
thiX,thiX,BSU13210,1388070,1388834,-1,-
thiW,thiW,BSU13220,1388809,1390452,-1,-
thiV,thiV,BSU13230,1390439,1391038,-1,-
thiU,thiU,BSU13240,1391040,1391642,-1,-
X.15,NA,BSU_misc_RNA_19,1391739,1391851,-1,-
ykoG,ykoG,BSU13250,1391953,1392639,1,-
ykoH,ykoH,BSU13260,1392643,1394007,1,-
ykoI,ykoI,BSU13270,1394004,1394684,1,-
ykoJ,ykoJ,BSU13280,1394776,1395288,1,-
ykzD,ykzD,BSU13290,1395371,1395508,1,-
S473,S473,new_1395590_1395909,1395590,1395909,1,5'
ykzO,ykzO,BSU13299,1395598,1395810,-1,-
S474,S474,new_1395911_1396012,1395911,1396012,1,5'
mgtE,mgtE,BSU13300,1396013,1397368,1,-
tnrA,tnrA,BSU13310,1397411,1397743,-1,-
S475,S475,new_1397771_1398159_c,1397771,1398159,-1,5'
ykzB,ykzB,BSU13320,1397938,1398093,1,-
ykoL,ykoL,BSU13330,1398181,1398363,1,-
S476,S476,new_1398413_1398495,1398413,1398495,1,5'
ykoM,ykoM,BSU13340,1398496,1398960,1,-
ykoN,ykoN,BSU13350,1398975,1400096,-1,-
S477,S477,new_1399409_1400187,1399409,1400187,1,5'
ykoP,ykoP,BSU13360,1400188,1400739,1,-
ykoQ,ykoQ,BSU13370,1400767,1401579,-1,-
S478,S478,new_1401697_1401771,1401697,1401771,1,5'
ykoS,ykoS,BSU13380,1401772,1403466,1,-
ykoT,ykoT,BSU13390,1403479,1404492,1,-
ykoU,ykoU,BSU13400,1404518,1406353,-1,-
ykoV,ykoV,BSU13410,1406357,1407292,-1,-
ykoW,ykoW,BSU13420,1407329,1409578,-1,-
S479,S479,new_1409579_1409781_c,1409579,1409781,-1,5'
ykoX,ykoX,BSU13430,1409912,1410577,1,-
ykoY,ykoY,BSU13440,1410654,1411628,1,-
S480,S480,new_1411773_1411859,1411773,1411859,1,5'
sigI,sigI,BSU13450,1411892,1412647,1,-
rsgI,rsgI,BSU13460,1412644,1413789,1,-
S481,S481,new_1413790_1414949,1413790,1414949,1,inter
sspD,sspD,BSU13470,1413800,1413994,-1,-
ykrK,ykrK,BSU13480,1414125,1414826,-1,-
S482,S482,new_1414827_1414907_c,1414827,1414907,-1,5'
htpX,htpX,BSU13490,1414997,1415893,1,-
ktrD,ktrD,BSU13500,1416067,1417416,1,-
S483,S483,new_1417493_1417560,1417493,1417560,1,5'
ykzP,ykzP,BSU13509,1417561,1417716,1,-
ykzE,ykzE,BSU13510,1417719,1417895,1,-
ykrP,ykrP,BSU13520,1417938,1418960,-1,-
kinE,kinE,BSU13530,1419213,1421429,1,-
S484,S484,new_1421204_1422144_c,1421204,1422144,-1,3'PT
ogt,ogt,BSU13540,1421426,1421923,1,-
S485,S485,new_1421924_1422163,1421924,1422163,1,3'UTR
mtnA,mtnA,BSU13550,1422172,1423233,-1,-
mtnK,mtnK,BSU13560,1423241,1424440,-1,-
X.16,NA,BSU_misc_RNA_20,1424527,1424683,-1,-
mtnU,mtnU,BSU13570,1424767,1425546,-1,-
S486,S486,new_1425281_1425598,1425281,1425598,1,5'
mtnE,mtnE,BSU13580,1425641,1426837,1,-
X.17,NA,BSU_misc_RNA_21,1426876,1426976,1,-
mtnW,mtnW,BSU13590,1427034,1428278,1,-
mtnX,mtnX,BSU13600,1428275,1428982,1,-
mtnB,mtnB,BSU13610,1428940,1429569,1,-
mtnD,mtnD,BSU13620,1429584,1430120,1,-
S487,S487,new_1429967_1430160_c,1429967,1430160,-1,3'PT
ykvA,ykvA,BSU13630,1430161,1430481,-1,-
S488,S488,new_1430482_1430571_c,1430482,1430571,-1,5'
S489,S489,new_1430539_1430623,1430539,1430623,1,5'
S490,S490,new_1430625_1430683,1430625,1430683,1,5'
spo0E,spo0E,BSU13640,1430684,1430941,1,-
eag,eag,BSU13650,1431027,1431458,1,-
kinD,kinD,BSU13660,1431486,1433006,-1,-
mhqR,mhqR,BSU13670,1433199,1433636,1,-
motB,motB,BSU13680,1433676,1434461,-1,-
motA,motA,BSU13690,1434433,1435245,-1,-
S491,S491,new_1435383_1435605_c,1435383,1435605,-1,3'UTR
clpE,clpE,BSU13700,1435628,1437727,-1,-
S492,S492,new_1437728_1437978_c,1437728,1437978,-1,5'
ykvI,ykvI,BSU13710,1438092,1439135,1,-
S493,S493,new_1439136_1439227,1439136,1439227,1,inter
S494,S494,new_1439340_1439447,1439340,1439447,1,inter
queC,queC,BSU13720,1439448,1440107,1,-
queD,queD,BSU13730,1440100,1440549,1,-
queE,queE,BSU13740,1440542,1441273,1,-
queF,queF,BSU13750,1441291,1441788,1,-
S495,S495,new_1441789_1442065,1441789,1442065,1,3'UTR
S496,S496,new_1442102_1442346_c,1442102,1442346,-1,3'UTR
ykvN,ykvN,BSU13760,1442347,1442703,-1,-
ykvO,ykvO,BSU13770,1442872,1443618,1,-
ykvP,ykvP,BSU13780,1444099,1445298,1,-
ykzQ,ykzQ,BSU13789,1445314,1445541,1,-
S497,S497,new_1445542_1445637,1445542,1445637,1,intra
ykvQ,ykvQ,BSU13790,1445638,1446336,1,-
S498,S498,new_1446289_1447115_c,1446289,1447115,-1,indep-Ext
ykzR,ykzR,BSU13799,1446317,1446568,1,-
S499,S499,new_1446841_1447052,1446841,1447052,1,indep
ykvR,ykvR,BSU13800,1447251,1447541,1,-
S500,S500,new_1447578_1447661_c,1447578,1447661,-1,3'UTR
ykvS,ykvS,BSU13810,1447662,1447847,-1,-
S501,S501,new_1447893_1448237_c,1447893,1448237,-1,5'
ykzS,ykzS,BSU13819,1448013,1448207,1,-
ykvT,ykvT,BSU13820,1448506,1449132,1,-
ykvU,ykvU,BSU13830,1449250,1450587,1,-
stoA,stoA,BSU13840,1450638,1451135,1,-
S502,S502,new_1451263_1451370,1451263,1451370,1,5'
zosA,zosA,BSU13850,1451371,1453284,1,-
ykvY,ykvY,BSU13860,1453691,1454782,1,-
S503,S503,new_1454795_1455013_c,1454795,1455013,-1,indep-Ext
S504,S504,new_1454806_1455063,1454806,1455063,1,inter
ykvZ,ykvZ,BSU13870,1455064,1456029,1,-
glcT,glcT,BSU13880,1456092,1456958,1,-
S505,S505,new_1457005_1457156,1457005,1457156,1,inter
ptsG,ptsG,BSU13890,1457187,1459286,1,-
ptsH,ptsH,BSU13900,1459384,1459650,1,-
ptsI,ptsI,BSU13910,1459650,1461362,1,-
splA,splA,BSU13920,1461453,1461692,1,-
S506,S506,new_1461473_1462812_c,1461473,1462812,-1,3'Ext
splB,splB,BSU13930,1461770,1462798,1,-
ykwB,ykwB,BSU13940,1462813,1463493,-1,-
mcpC,mcpC,BSU13950,1463628,1465595,1,-
ykwC,ykwC,BSU13960,1465733,1466599,1,-
ykwD,ykwD,BSU13970,1466638,1467411,-1,-
S507,S507,new_1467701_1467804,1467701,1467804,1,5'
pbpH,pbpH,BSU13980,1467805,1469862,1,-
kinA,kinA,BSU13990,1470026,1471846,1,-
patA,patA,BSU14000,1471857,1473038,-1,-
S508,S508,new_1473128_1473196_c,1473128,1473196,-1,5'
ykzT,ykzT,BSU14009,1473240,1473401,-1,-
cheV,cheV,BSU14010,1473605,1474516,1,-
ykyB,ykyB,BSU14020,1474560,1475024,-1,-
ykuC,ykuC,BSU14030,1475150,1476442,-1,-
ykuD,ykuD,BSU14040,1476518,1477012,-1,-
ykuE,ykuE,BSU14050,1477069,1477929,-1,-
fadH,fadH,BSU14060,1478072,1478836,1,-
S509,S509,new_1478837_1478985,1478837,1478985,1,inter
S510,S510,new_1478987_1479136,1478987,1479136,1,5'
fadG,fadG,BSU14071,1479137,1480867,1,-
ykzU,ykzU,BSU14072,1480933,1481451,1,-
ykuH,ykuH,BSU14080,1481547,1482095,1,-
S511,S511,new_1482096_1482247,1482096,1482247,1,intra
ykuI,ykuI,BSU14090,1482248,1483471,1,-
S512,S512,new_1483539_1483640,1483539,1483640,1,indep
S513,S513,new_1483671_1483955,1483671,1483955,1,inter
S514,S514,new_1483957_1484044,1483957,1484044,1,5'
ykuJ,ykuJ,BSU14100,1484117,1484356,1,-
S515,S515,new_1484357_1484465,1484357,1484465,1,intra
ykuK,ykuK,BSU14110,1484466,1484984,1,-
ykzF,ykzF,BSU14120,1485118,1485315,1,-
S516,S516,new_1485356_1485452,1485356,1485452,1,inter
ykuL,ykuL,BSU14130,1485453,1485896,1,-
S517,S517,new_1485897_1486004,1485897,1486004,1,inter
ccpC,ccpC,BSU14140,1486045,1486926,1,-
ykuN,ykuN,BSU14150,1487038,1487514,1,-
ykuO,ykuO,BSU14160,1487504,1488397,1,-
ykuP,ykuP,BSU14170,1488413,1488868,1,-
dapH,dapH,BSU14180,1488973,1489683,1,-
dapL,dapL,BSU14190,1489753,1490877,1,-
ykuS,ykuS,BSU14200,1490939,1491184,1,-
S518,S518,new_1491217_1492167,1491217,1492167,1,inter
ykuT,ykuT,BSU14210,1491221,1492024,-1,-
S519,S519,new_1492169_1492260,1492169,1492260,1,5'
ykuU,ykuU,BSU14220,1492261,1492803,1,-
ykuV,ykuV,BSU14230,1492875,1493321,1,-
rok,rok,BSU14240,1493787,1494362,1,-
yknT,yknT,BSU14250,1494403,1495368,-1,-
S520,S520,new_1494737_1495461,1494737,1495461,1,5'
mobA,mobA,BSU14260,1495505,1496104,1,-
moeB,moeB,BSU14270,1496155,1497174,1,-
moeA,moeA,BSU14280,1497192,1498484,1,-
mobB,mobB,BSU14290,1498445,1498966,1,-
moaE,moaE,BSU14300,1498966,1499439,1,-
moaD,moaD,BSU14310,1499432,1499665,1,-
S521,S521,new_1499752_1499838,1499752,1499838,1,5'
yknU,yknU,BSU14320,1499889,1501646,1,-
yknV,yknV,BSU14330,1501658,1503472,1,-
yknW,yknW,BSU14340,1503582,1504277,1,-
yknX,yknX,BSU14350,1504282,1505415,1,-
yknY,yknY,BSU14360,1505416,1506108,1,-
yknZ,yknZ,BSU14370,1506105,1507298,1,-
S522,S522,new_1507447_1507538,1507447,1507538,1,5'
fruR,fruR,BSU14380,1507578,1508333,1,-
fruK,fruK,BSU14390,1508330,1509241,1,-
fruA,fruA,BSU14400,1509256,1511163,1,-
sipT,sipT,BSU14410,1511308,1511889,1,-
ykoA,ykoA,BSU14420,1511923,1512192,-1,-
S523,S523,new_1512193_1512258_c,1512193,1512258,-1,5'
ykpA,ykpA,BSU14430,1512373,1513995,1,-
panE,panE,BSU14440,1514052,1514963,1,-
ampS,ampS,BSU14450,1514997,1516229,-1,-
ykpC,ykpC,BSU14460,1516339,1516473,-1,-
S524,S524,new_1516508_1516573_c,1516508,1516573,-1,inter
mreBH,mreBH,BSU14470,1516574,1517581,-1,-
S525,S525,new_1517792_1517864,1517792,1517864,1,5'
abh,abh,BSU14480,1517865,1518143,1,-
S526,S526,new_1518175_1519804_c,1518175,1519804,-1,indep
S527,S527,new_1518186_1518290,1518186,1518290,1,inter
kinC,kinC,BSU14490,1518333,1519619,1,-
ykqA,ykqA,BSU14500,1519635,1520468,1,-
ktrC,ktrC,BSU14510,1520531,1521196,1,-
adeC,adeC,BSU14520,1521351,1523084,1,-
S528,S528,new_1522479_1523083_c,1522479,1523083,-1,3'PT
rnjA,rnjA,BSU14530,1523118,1524785,-1,-
ykzG,ykzG,BSU14540,1524791,1525000,-1,-
