source	target	sign	mechanism
ahrC	rocA	1	TF+M
abrB	rocA	-1	TF
sigE	exuR	1	sigma factor
sigA	exuR	1	sigma factor
exuR	exuR	-1	TF+M
ccpA	exuR	-1	TF+PP+M
spoIIID	exuR	-1	TF
yclJ	yngB	1	TF+TC
T-box-HIS	hisS	1	RNA switch
T-box-ASP	hisS	1	RNA switch
sigK	yngK	1	sigma factor
sigK	spoVK	1	sigma factor
sigE	spoVK	1	sigma factor
spoIIID	spoVK	1	TF
senS	senS	1	TF
abrB	senS	-1	TF
yydK	bglA	0	silico-TF+M
sigA	ytrA	1	sigma factor
ytrA	ytrA	-1	TF-M
sigM	mreC	1	sigma factor
sigH	mreC	1	sigma factor
sigE	yusR	1	sigma factor
sigB	opuE	1	sigma factor
sigA	opuE	1	sigma factor
ccpA	opuE	1	TF+PP+M
codY	opuE	0	TF+M
sigD	lytC	1	sigma factor
sigA	lytC	1	sigma factor
yvrHb	lytC	-1	TF+TC
slrR	lytC	-1	TF
lytR	lytC	-1	TF
sigB	mgsR	1	sigma factor
mgsR	mgsR	1	TF+S
qdor	qodI	-1	TF+M
lmrA	qodI	-1	TF+M
stringent response	pycA	1	unk
sigA	rimO	1	sigma factor
hrcA	rimO	-1	TF+HrcA unstability
arfM	rimO	0	TF
sigF	ylzA	1	sigma factor
sigE	spmB	1	sigma factor
spoIIID	spmB	-1	TF
yvrHb	yolJ	1	TF+TC
rok	yolJ	-1	TF
abrB	yolJ	-1	TF
abh	yolJ	1	TF
abrB	yocD	-1	TF
sigE	yybH	1	sigma factor
sigD	cheA	1	sigma factor
sigA	cheA	1	sigma factor
spo0A	cheA	-1	TF+PP
codY	cheA	-1	TF+M
sigA	adcC	1	sigma factor
zur	adcC	-1	TF+M
degU	pgsE	1	TF+TC
tnrA	pgsE	0	TF+P+M
sigG	ykoS	1	sigma factor
sigK	cotR	1	sigma factor
codY	cotR	0	TF+M
sigG	ypbQ	1	sigma factor
ylaC	ylaA	1	sigma factor
sigA	ylaA	1	sigma factor
spx	ylaA	1	TF+S
sigG	sspP	1	sigma factor
spoVT	sspP	1	TF
codY	sspP	0	TF+M
lexA	yozM	-1	TF-proteolyse
ccpA	yozM	-1	TF+PP+M
yybA	yybA	0	silico-TF+unk
sigK	ypqA	1	sigma factor
sigE	ypqA	1	sigma factor
spx	ytvA	1	TF+S
sigK	cgeC	1	sigma factor
gerE	cgeC	1	TF
spo0A	ylbF	-1	TF+PP
abrB	ctaO	-1	TF
sigE	glnM	1	sigma factor
tnrA	glnM	1	TF+P+M
codY	glnM	0	TF+M
sigA	sat	1	sigma factor
S-box-SAM	sat	-1	
cymR	sat	-1	TF+P+M
stringent response	atpE	-1	unk
sigE	exuT	1	sigma factor
sigA	exuT	1	sigma factor
exuR	exuT	-1	TF+M
ccpA	exuT	-1	TF+PP+M
spoIIID	exuT	-1	TF
ccpA	yqgW	0	TF+PP+M
sigA	yvoA	1	sigma factor
nagR	yvoA	-1	TF+M
ccpA	yvoA	-1	TF+PP+M
sigA	ppiB	1	sigma factor
sigK	ppiB	1	sigma factor
sigX	yrhH	1	sigma factor
sigW	yrhH	1	sigma factor
sigM	yrhH	1	sigma factor
sigE	yhaM	1	sigma factor
lexA	yhaM	-1	TF-proteolyse
sigK	dapG	1	sigma factor
sigA	dapG	1	sigma factor
czrA	yrdP	-1	TF+M
sigK	yojK	1	sigma factor
yxdJ	yxeA	1	TF+TC
sigA	pyrR	1	sigma factor
pyrR	pyrR	1	P-AT+M
purR	pyrR	-1	TF+M
RNA - ylbH	coaD	0	silico-riboswitch
xpf	xkdJ	1	sigma factor
sigG	sspI	1	sigma factor
tnrA	yttA	-1	TF+P+M
sigF	tuaG	1	sigma factor
sigA	tuaG	1	sigma factor
phoP	tuaG	1	TF+TC
sigK	malL	1	sigma factor
sigE	malL	1	sigma factor
mdxR	malL	0	silico-TF+M
ccpA	ysmA	0	TF+PP+M
spo0A	yqxI	1	TF+PP
ccpA	yqxI	-1	TF+PP+M
abrB	yqxI	-1	TF
sigE	coxA	1	sigma factor
sigG	coxA	1	sigma factor
spoVT	coxA	1	TF
sigA	epsI	1	sigma factor
sigH	epsI	1	sigma factor
sinR	epsI	-1	TF
eAR	epsI	0	RNA antiterminator
abrB	epsI	-1	TF
sigE	mbl	1	sigma factor
stringent response	mbl	-1	unk
sigD	fliP	1	sigma factor
sigA	fliP	1	sigma factor
spo0A	fliP	-1	TF+PP
codY	fliP	-1	TF+M
sigF	tuaF	1	sigma factor
sigA	tuaF	1	sigma factor
phoP	tuaF	1	TF+TC
yrkP	yrkO	1	TF+TC
ccpA	lrgA	0	TF+PP+M
lytT	lrgA	0	silico-TF+TC
sigK	ykuD	1	sigma factor
ccpA	ykuD	-1	TF+PP+M
sigD	yvyG	1	sigma factor
sigA	yvyG	1	sigma factor
scoC	yvyG	-1	TF
degU	yvyG	1	TF+TC
comK	yvyG	1	TF
fur	yxeB	-1	TF+M
comK	glcR	1	TF
glcR	glcR	0	silico-TF+unk
spo0A	pdxT	-1	TF+PP
sigK	spoIIIC	1	sigma factor
sigE	spoIIIC	1	sigma factor
spoIIID	spoIIIC	1	TF
gerE	spoIIIC	-1	TF
gerR	spoIIIC	-1	TF
bglZ	ykvZ	0	silico-TF+M
sigK	thyA	1	sigma factor
sigA	sigD	1	sigma factor
spo0A	sigD	-1	TF+PP
codY	sigD	-1	TF+M
sigA	hemB	1	sigma factor
perR	hemB	-1	TF+S
yrkP	ykcB	1	TF+TC
yclJ	ykcB	1	TF+TC
sigE	yqhV	1	sigma factor
gerR	yqhV	-1	TF
spoIIID	yqhV	-1	TF
gerE	yqhV	-1	TF
abrB	yolA	-1	TF
sigG	acoR	1	sigma factor
ccpA	acoR	-1	TF+PP+M
resD	yclJ	1	TF+TC
sigG	yhcH	1	sigma factor
comK	yhcH	1	TF
gabR	yhcH	0	TF+M
yvrHb	yvrH	1	TF+TC
lexA	yhaN	-1	TF-proteolyse
sigG	yteA	1	sigma factor
spoVT	yteA	1	TF
sigA	opuBB	1	sigma factor
gbsR	opuBB	-1	TF+M
codY	opuBB	0	TF+M
yvbF/YvaV	opuBB	0	silico-TF+unk
ywrC	ywrA	0	silico-TF+unk
sigE	yknU	1	sigma factor
spoIIID	yknU	1	TF
sigA	prmA	1	sigma factor
hrcA	prmA	-1	TF+HrcA unstability
arfM	prmA	0	TF
codY	yufO	-1	TF+M
sigA	fnr	1	sigma factor
resD	fnr	1	TF+TC
nsrR	fnr	-1	TF+M
fnr	fnr	1	TF+M
sigE	citH	1	sigma factor
spoIIID	citH	-1	TF
ccpA	citH	0	TF+PP+M
sigE	yoaW	1	sigma factor
abrB	yoaW	-1	TF
fur	besA	-1	TF+M
abrB	besA	-1	TF
stringent response	folD	-1	unk
purR	folD	-1	TF+M
sigG	sspK	1	sigma factor
sigK	gntK	1	sigma factor
sigA	gntK	1	sigma factor
gntR	gntK	-1	TF+M
ccpA	gntK	-1	TF+PP+M
abrB	gntK	1	TF
ccpB	gntK	-1	TF+unk
csoR	copA	-1	TF+M
ykrK	ykrK	-1	TF+unk
sigG	ymfJ	1	sigma factor
sigA	tagA	1	sigma factor
walR	tagA	1	TF+TC
phoP	tagA	-1	TF+TC
sigA	ctaC	1	sigma factor
resD	ctaC	1	TF+TC
ccpA	ctaC	-1	TF+PP+M
abrB	ctaC	-1	TF
abh	ctaC	-1	TF
yvfU	yvfS	0	silico-TF+TC
sigG	ycgL	1	sigma factor
sigG	pbpF	1	sigma factor
sigA	pbpF	1	sigma factor
mhqR	mhqA	-1	TF+M
malR	yflS	1	TF+TC
sigK	cotA	1	sigma factor
spoIIID	cotA	-1	TF
gerE	cotA	-1	TF
sigK	yyaO	1	sigma factor
sigF	tuaH	1	sigma factor
sigA	tuaH	1	sigma factor
phoP	tuaH	1	TF+TC
sigB	yhxD	1	sigma factor
yodB	yodB	-1	TF+S
sigK	yycQ	1	sigma factor
sigE	yycQ	1	sigma factor
sigA	ytlI	1	sigma factor
cymR	ytlI	-1	TF+P+M
spx	ytlI	-1	TF+S
ytlI	ytlI	0	TF+M
codY	iscS.1	0	TF+M
abrB	ydeH	-1	TF
sigB	dctB	1	sigma factor
sigA	ybbA	1	sigma factor
fur	ybbA	-1	TF+M
citB	ybbA	1	riboswitch
btr	ybbA	1	TF+M
glcR	ybbA	0	silico-TF+unk
sigG	yhcE	1	sigma factor
comK	yhcE	1	TF
gabR	yhcE	0	TF+M
sigF	yqcK	1	sigma factor
sigA	yqcK	1	sigma factor
arsR	yqcK	-1	TF+M
sigA	pckA	1	sigma factor
ccpN	pckA	-1	TF+unk
comK	yisB	1	TF
sigG	yozQ	1	sigma factor
spoVT	yozQ	-1	TF
stringent response	rpsJ	-1	unk
sigA	hemN	1	sigma factor
arfM	hemN	1	TF
codY	braB	0	TF+M
lacR	ganP	-1	TF+M
ccpA	ganP	0	TF+PP+M
sigG	htrC	1	sigma factor
sigL	levD	1	sigma factor
levR	levD	1	TF+PTS
ccpA	levD	-1	TF+PP+M
sigA	yciC	1	sigma factor
zur	yciC	-1	TF+M
codY	opuCA	0	TF+M
yvbF/YvaV	opuCA	0	silico-TF+unk
sigK	yisJ	1	sigma factor
sigB	ydaS	1	sigma factor
sigA	mmsA	1	sigma factor
iolR	mmsA	-1	TF+M
ccpA	mmsA	-1	TF+PP+M
sigA	gmuC	1	sigma factor
gmuR	gmuC	-1	TF+M
ccpA	gmuC	-1	TF+PP+M
abrB	gmuC	1	TF
sigE	yjdH	1	sigma factor
abrB	ywoF	-1	TF
abh	ywoF	-1	TF
tnrA	ywoF	0	TF+P+M
sigD	flgK	1	sigma factor
sigA	flgK	1	sigma factor
scoC	flgK	-1	TF
degU	flgK	1	TF+TC
comK	flgK	1	TF
sigE	dacB	1	sigma factor
spoIIID	dacB	-1	TF
sigE	yvbH	1	sigma factor
codY	opuCD	0	TF+M
yvbF/YvaV	opuCD	0	silico-TF+unk
sigA	htrA	1	sigma factor
cssR	htrA	1	TF+TC
htrA	htrA	-1	TF
sigA	araE	1	sigma factor
ccpA	araE	-1	TF+PP+M
araR	araE	-1	TF+M
sigA	folEA	1	sigma factor
sigG	yhcB	1	sigma factor
comK	yhcB	1	TF
sigA	rbsR	1	sigma factor
ccpA	rbsR	-1	TF+PP+M
abrB	rbsR	1	TF
rbsR	rbsR	0	silico-TF+M
sigE	yaaH	1	sigma factor
sigB	yaaH	1	sigma factor
spoIIID	yaaH	-1	TF
sigE	ylxY	1	sigma factor
spoIIID	ylxY	-1	TF
spo0A	skfF	1	TF+PP
phoP	skfF	1	TF+TC
abrB	skfF	-1	TF
codY	ykfB	-1	TF+M
sigK	ycsF	1	sigma factor
tnrA	ycsF	1	TF+P+M
kipR	ycsF	-1	TF+unk
comK	trmF	1	TF
sigE	yloB	1	sigma factor
spoIIID	yloB	-1	TF
mntR	mntB	-1	TF+M
sigA	comA	1	sigma factor
codY	yxbB	-1	TF+M
abrB	yxbB	-1	TF
sigA	comEA	1	sigma factor
comN	comEA	0	P-PTC
comK	comEA	1	TF
sigA	rpsD	1	sigma factor
stringent response	rpsD	-1	unk
sigE	ycgF	1	sigma factor
spoIIID	ycgF	-1	TF
sigW	yoaF	1	sigma factor
sigK	yxeE	1	sigma factor
gerE	yxeE	1	TF
sigX	dltA	1	sigma factor
sigM	dltA	1	sigma factor
sigD	dltA	1	sigma factor
yvrHb	dltA	1	TF+TC
stringent response	dltA	-1	unk
spo0A	dltA	-1	TF+PP
mdtR	yusO	-1	TF+M
cssR	htrB	1	TF+TC
sigA	amtB	1	sigma factor
tnrA	amtB	1	TF+P+M
sigA	fbp	1	sigma factor
azlB	azlD	-1	TF+unk
sigM	ugtP	1	sigma factor
sigB	yfkT	1	sigma factor
codY	yufQ	-1	TF+M
fadR	lcfA	-1	TF+M
ccpA	lcfA	-1	TF+PP+M
sigF	mcsB	1	sigma factor
sigB	mcsB	1	sigma factor
sigA	mcsB	1	sigma factor
ctsR	mcsB	-1	TF+unstability
cymR	ydbM	-1	TF+P+M
sigA	purN	1	sigma factor
purR	purN	-1	TF+M
G-box-HXTX	purN	1	riboswitch
G-box-GUA	purN	1	riboswitch
sigB	ytaB	1	sigma factor
lexA	yneA	-1	TF-proteolyse
comK	yneA	1	TF
sigA	rplGA	1	sigma factor
stringent response	rplGA	-1	unk
sigG	rsfA	1	sigma factor
sigF	rsfA	1	sigma factor
rsfA	rsfA	-1	P
sigA	spoIIE	1	sigma factor
spo0A	spoIIE	1	TF+PP
sinR	spoIIE	-1	TF
fur	ymcB	0	TF+M
sigG	yfkQ	1	sigma factor
sigB	ywtG	1	sigma factor
sigF	yjbA	1	sigma factor
comK	yvrP	1	TF
abrB	yvrP	-1	TF
sigA	pbuX	1	sigma factor
purR	pbuX	-1	TF+M
G-box-HXTX	pbuX	1	riboswitch
G-box-GUA	pbuX	1	riboswitch
nagR	nagP.1	-1	TF+M
sigG	yraG	1	sigma factor
codY	yuaE	0	TF+M
sigA	acdA	1	sigma factor
fadR	acdA	-1	TF+M
sigG	bcsA	1	sigma factor
ywbI	cidA	0	silico-TF+unk
sigK	kipR	1	sigma factor
tnrA	kipR	1	TF+P+M
kipR	kipR	-1	TF+unk
sigA	yxeQ	1	sigma factor
cymR	yxeQ	-1	TF+P+M
spx	yxeQ	-1	TF+S
sigB	yvaA	1	sigma factor
sigA	trnD.Leu2	1	sigma factor
stringent response	rplX	-1	unk
codY	yjnA	0	TF+M
sigX	yceC	1	sigma factor
sigW	yceC	1	sigma factor
sigM	yceC	1	sigma factor
sigB	yceC	1	sigma factor
sigA	yceC	1	sigma factor
sigA	carB	1	sigma factor
ahrC	carB	-1	TF+M
abrB	carB	1	TF
tnrA	carB	0	TF+P+M
sigA	gntZ	1	sigma factor
sigK	gntZ	1	sigma factor
gntR	gntZ	-1	TF+M
ccpA	gntZ	-1	TF+PP+M
abrB	gntZ	1	TF
ccpB	gntZ	-1	TF+unk
tnrA	yodF	-1	TF+P+M
codY	yodF	0	TF+M
sigD	fliE	1	sigma factor
sigA	fliE	1	sigma factor
spo0A	fliE	-1	TF+PP
codY	fliE	-1	TF+M
abrB	ywbF	-1	TF
ccpA	citS	0	TF+PP+M
lexA	ruvA	-1	TF-proteolyse
sigA	rpmI	1	sigma factor
stringent response	rpmI	-1	unk
rplT	rpmI	-1	RNA switch
sigE	scoB	1	sigma factor
ccpA	scoB	-1	TF+PP+M
spoIIID	scoB	-1	TF
sigA	argD	1	sigma factor
ahrC	argD	-1	TF+M
abrB	argD	1	TF
tnrA	argD	0	TF+P+M
sigA	dppD	1	sigma factor
codY	dppD	-1	TF+M
abrB	dppD	-1	TF
czrA	czcD	-1	TF+M
abrB	pnbA	-1	TF
fruR	fruR	-1	unk
spo0A	fruR	-1	TF+PP
ccpA	fruR	-1	TF+PP+M
sigA	ykuK	1	sigma factor
spo0A	ykuK	1	TF+PP
ccpC	ykuK	-1	 TF+M+DNA
ccpA	ykuK	-1	TF+PP+M
fur	yfmE	-1	TF+M
stringent response	atpI	-1	unk
sigA	rplT	1	sigma factor
stringent response	rplT	-1	unk
rplT	rplT	-1	RNA switch
sigA	ywdA	1	sigma factor
sacT	ywdA	1	P-AT+PTS
ccpA	ywdA	-1	TF+PP+M
sacY	ywdA	1	P-AT+PTS
stringent response	rpsG	-1	unk
sigA	folC	1	sigma factor
T-box-VAL	folC	1	RNA switch
sigG	sspA	1	sigma factor
spoVT	sspA	1	TF
tnrA	yoyD	0	TF+P+M
codY	yoyD	0	TF+M
tnrA	recO	0	TF+P+M
sigA	sdhC	1	sigma factor
fsrA	sdhC	-1	small regulatory RNA
ccpA	sdhC	-1	TF+PP+M
sigA	ytnJ	1	sigma factor
ytlI	ytnJ	1	TF+M
cymR	ytnJ	-1	TF+P+M
spx	ytnJ	-1	TF+S
sigK	ypzK	1	sigma factor
sigA	ypzK	1	sigma factor
FMN-box	ypzK	-1	riboswitch
fur	yfiZ	-1	TF+M
sigB	ybyB	1	sigma factor
sigA	srfAA	1	sigma factor
spx	srfAA	-1	TF+S
perR	srfAA	1	TF+S
comA	srfAA	1	TF+TC
codY	srfAA	-1	TF+M
abh	srfAA	-1	TF
sigE	dtpT	1	sigma factor
scoC	dtpT	-1	TF
tnrA	dtpT	0	TF+P+M
sigD	flgD	1	sigma factor
sigA	flgD	1	sigma factor
spo0A	flgD	-1	TF+PP
codY	flgD	-1	TF+M
xpf	xkdH	1	sigma factor
sigA	deoC	1	sigma factor
sigK	deoC	1	sigma factor
deoR	deoC	-1	TF+M
ccpA	deoC	-1	TF+PP+M
spo0A	spbC	1	TF+PP
rok	spbC	-1	TF
abrB	spbC	-1	TF
sigK	yuzF	1	sigma factor
sigX	csbB	1	sigma factor
sigB	csbB	1	sigma factor
frlR	frlN	-1	TF+M
codY	frlN	-1	TF+M
sigK	cotE	1	sigma factor
sigE	cotE	1	sigma factor
gerE	cotE	-1	TF
sigA	kdgA	1	sigma factor
kdgR	kdgA	-1	TF+M
ccpA	kdgA	-1	TF+PP+M
stringent response	rex.1	-1	unk
rex	rex.1	-1	TF+M
sigE	yjdG	1	sigma factor
abrB	yjdG	-1	TF
sigD	flgL	1	sigma factor
sigA	flgL	1	sigma factor
scoC	flgL	-1	TF
degU	flgL	1	TF+TC
comK	flgL	1	TF
T-box-SER	serS	1	RNA switch
sigA	argB	1	sigma factor
ahrC	argB	-1	TF+M
abrB	argB	1	TF
tnrA	argB	0	TF+P+M
sigD	mcpC	1	sigma factor
codY	mcpC	0	TF+M
sigB	yvgO	1	sigma factor
sigK	yvgO	1	sigma factor
abrB	yvgO	-1	TF
lexA	ydgG	-1	TF-proteolyse
T-box-ARG	argS	1	RNA switch
sigA	licC	1	sigma factor
licR	licC	1	TF+PTS
ccpA	licC	-1	TF+PP+M
rbsR	licC	0	silico-TF+M
sigA	sboX	1	sigma factor
rok	sboX	-1	TF
resD	sboX	1	TF+TC
abrB	sboX	-1	TF
codY	opuCB	0	TF+M
yvbF/YvaV	opuCB	0	silico-TF+unk
sigG	dnaN	1	sigma factor
sigA	dnaN	1	sigma factor
spo0A	dnaN	-1	TF+PP
dnaA	dnaN	-1	TF
sigE	prkA	1	sigma factor
sigA	ctaB	1	sigma factor
resD	ctaB	1	TF+TC
sigB	rsbS	1	sigma factor
sigA	rsbS	1	sigma factor
stringent response	truA	-1	unk
fur	fhuD	-1	TF+M
sigA	lctP	1	sigma factor
rex	lctP	-1	TF+M
resD	lctP	1	TF+TC
arfM	lctP	1	TF
alsR	lctP	1	TF+M
fnr	lctP	0	TF+M
sigA	licH	1	sigma factor
licR	licH	1	TF+PTS
ccpA	licH	-1	TF+PP+M
rbsR	licH	0	silico-TF+M
sigA	obg	1	sigma factor
sigG	ctpB	1	sigma factor
sigE	ctpB	1	sigma factor
spoVT	ctpB	-1	TF
sigF	ylbB	1	sigma factor
ccpA	ylbB	0	TF+PP+M
sigB	rsbX	1	sigma factor
sigA	rsbX	1	sigma factor
ccpA	rsbX	-1	TF+PP+M
sigA	dppE	1	sigma factor
codY	dppE	-1	TF+M
abrB	dppE	-1	TF
ytrA	ywoD	-1	TF-M
sigA	tnrA	1	sigma factor
tnrA	tnrA	1	TF+P+M
glnR	tnrA	-1	TF+P+M
sigM	ytpA	1	sigma factor
sigB	dtd	1	sigma factor
sigA	tagD	1	sigma factor
walR	tagD	1	TF+TC
phoP	tagD	-1	TF+TC
sigX	dltC	1	sigma factor
sigM	dltC	1	sigma factor
sigD	dltC	1	sigma factor
yvrHb	dltC	1	TF+TC
stringent response	dltC	-1	unk
spo0A	dltC	-1	TF+PP
sigX	yceE	1	sigma factor
sigW	yceE	1	sigma factor
sigM	yceE	1	sigma factor
sigB	yceE	1	sigma factor
sigA	yceE	1	sigma factor
sigA	pabC	1	sigma factor
TRAP	pabC	-1	RNA-BAP
bsdA	bsdD	1	TF+M
sigA	ohrA	1	sigma factor
ohrR	ohrA	-1	TF+S
sigF	clpC	1	sigma factor
sigB	clpC	1	sigma factor
sigA	clpC	1	sigma factor
ctsR	clpC	-1	TF+unstability
sigD	pgdS	1	sigma factor
tnrA	pgdS	0	TF+P+M
sigW	spo0M	1	sigma factor
sigH	spo0M	1	sigma factor
degU	pgsB	1	TF+TC
tnrA	pgsB	0	TF+P+M
sigD	motA	1	sigma factor
sigK	ymdA	1	sigma factor
stringent response	atpF	-1	unk
sigA	tuaC	1	sigma factor
phoP	tuaC	1	TF+TC
xre	xkdC	-1	TF
stringent response	rpmD	-1	unk
ccpA	ytcP	0	TF+PP+M
rmgR	ytcP	0	silico-TF+M
Thi-box	thiO	-1	riboswitch
tenI	thiO	-1	unk
sigA	gltC	1	sigma factor
gltC	gltC	-1	TF+M
gltC0	gltC	-1	TF+M
tnrA	gltC	0	TF+P+M
sigE	spoIVFB	1	sigma factor
spoIIID	spoIVFB	-1	TF
sigA	tagE	1	sigma factor
walR	tagE	1	TF+TC
phoP	tagE	-1	TF+TC
abrB	pbpH	-1	TF
abrB	yvqJ	-1	TF
salA	salA	-1	P
ccpA	salA	0	TF+PP+M
sigG	ylaJ	1	sigma factor
sigA	hemX	1	sigma factor
perR	hemX	-1	TF+S
sigB	cypC	1	sigma factor
sigH	phrK	1	sigma factor
abrB	phrK	-1	TF
spx	ytpQ	1	TF+S
abrB	natB.1	-1	TF
sigD	cheW	1	sigma factor
sigA	cheW	1	sigma factor
spo0A	cheW	-1	TF+PP
codY	cheW	-1	TF+M
sigA	nusA	1	sigma factor
stringent response	nusA	-1	unk
sigB	bmrU	1	sigma factor
sigA	bmrU	1	sigma factor
mta	bmrU	1	TF+M
bmrR	bmrU	1	TF+M
codY	aslA	-1	TF+M
abrB	aslA	-1	TF
sigG	pdaA	1	sigma factor
hisR	hisB	0	silico-TF+M
spo0A	yusD	1	TF+PP
phoP	yjdB	1	TF+TC
abrB	yjdB	-1	TF
sigA	comZ	1	sigma factor
spo0A	comZ	-1	TF+PP
sigA	kdgR	1	sigma factor
kdgR	kdgR	-1	TF+M
ccpA	kdgR	-1	TF+PP+M
sigE	ywnH	1	sigma factor
sigW	yfhK	1	sigma factor
sigB	yfhK	1	sigma factor
abrB	yfmG	-1	TF
sigA	comGG	1	sigma factor
comK	comGG	1	TF
comZ	comGG	-1	TF
rok	yybK	-1	TF
spo0A	yybK	1	TF+PP
sigA	codV	1	sigma factor
codY	codV	-1	TF+M
sigA	ykzF	1	sigma factor
spo0A	ykzF	1	TF+PP
ccpA	ykzF	-1	TF+PP+M
ccpC	ykzF	-1	 TF+M+DNA
abrB	xynD	-1	TF
sigA	kdgK	1	sigma factor
kdgR	kdgK	-1	TF+M
ccpA	kdgK	-1	TF+PP+M
yrkP	yrkQ	1	TF+TC
sigK	yrkD	1	sigma factor
yrkD	yrkD	0	silico-TF+unk
sigK	spsI	1	sigma factor
sigE	spsI	1	sigma factor
bsdA	ubiX	1	TF+M
sigE	spoIIIAF	1	sigma factor
gerR	spoIIIAF	-1	TF
spoIIID	spoIIIAF	-1	TF
gerE	spoIIIAF	-1	TF
sigA	fadR	1	sigma factor
fadR	fadR	-1	TF+M
ccpA	fadR	-1	TF+PP+M
sigG	ylyA	1	sigma factor
spoVT	ylyA	1	TF
yofA	ftsW	1	TF
sigL	levF	1	sigma factor
levR	levF	1	TF+PTS
ccpA	levF	-1	TF+PP+M
codY	serA	0	TF+M
yhdI/YdeL	yhdJ	0	silico-TF+unk
sigA	araP	1	sigma factor
ccpA	araP	-1	TF+PP+M
araR	araP	-1	TF+M
sigB	ytkL	1	sigma factor
sigG	splA	1	sigma factor
splA	splA	-1	TF
yxdJ	yxdL	1	TF+TC
sigH	ytxJ	1	sigma factor
sigB	ytxJ	1	sigma factor
birA	bioF	-1	TF+P+M
sigH	rapE	1	sigma factor
sigA	rapE	1	sigma factor
comA	rapE	1	TF+TC
codY	rapE	-1	TF+M
alsR	alsR	0	TF+M
abrB	yokK	-1	TF
sigA	sirC	1	sigma factor
S-box-SAM	sirC	-1	
cymR	sirC	-1	TF+P+M
azlB	brnQ	-1	TF+unk
ybgA	nagBB	0	TF+M
phoP	pstC	1	TF+TC
spo0A	ftsE	-1	TF+PP
sigA	yqxM	1	sigma factor
sinR	yqxM	-1	TF
abrB	yqxM	-1	TF
spo0A	yqxM	1	TF+PP
stringent response	rpmF	-1	unk
sigA	ctaG	1	sigma factor
resD	ctaG	1	TF+TC
ccpA	ctaG	-1	TF+PP+M
abrB	ctaG	-1	TF
abh	ctaG	-1	TF
sigA	ymaB	1	sigma factor
resD	ymaB	1	TF+TC
nrdR	ymaB	0	silico-TF+M
sigA	sacA	1	sigma factor
sacT	sacA	1	P-AT+PTS
ccpA	sacA	-1	TF+PP+M
sacY	sacA	1	P-AT+PTS
sigB	ypuC	1	sigma factor
T-box-LEU	yvbW	0	RNA switch
sigA	pucH	1	sigma factor
sigE	pucH	1	sigma factor
tnrA	pucH	1	TF+P+M
pucR	pucH	1	TF+M
sigA	clpE	1	sigma factor
ctsR	clpE	-1	TF+unstability
T-box-ALA	alaS	0	RNA switch
sigB	yoxB	1	sigma factor
sigW	yxzE	1	sigma factor
abrB	yxzE	-1	TF
sigM	minC	1	sigma factor
sigH	minC	1	sigma factor
yhgD	yhgE	0	silico-TF+unk
sigA	rlmB	1	sigma factor
T-box-CYS	rlmB	1	RNA switch
sigA	sboA	1	sigma factor
rok	sboA	-1	TF
resD	sboA	1	TF+TC
abrB	sboA	-1	TF
codY	ilvD	-1	TF+M
sigA	acpA	1	sigma factor
fapR	acpA	-1	TF+M
sigA	yhcY	1	sigma factor
sigE	yhcY	1	sigma factor
liaR	yhcY	1	TF+TC
ahrC	artP	0	TF+M
sigA	bglH	1	sigma factor
licT	bglH	1	P-AT+PTS
ccpA	bglH	-1	TF+PP+M
abrB	ywqC	-1	TF
stringent response	scpA	-1	unk
sigD	fliG	1	sigma factor
sigA	fliG	1	sigma factor
spo0A	fliG	-1	TF+PP
codY	fliG	-1	TF+M
stringent response	ssbA	-1	unk
comK	ssbA	1	TF
lexA	ruvB	-1	TF-proteolyse
sigL	buk	1	sigma factor
codY	buk	-1	TF+M
bkdR	buk	1	TF+M
tnrA	buk	-1	TF+P+M
bceR	bceA	1	TF+TC
ccpA	glcK	0	TF+PP+M
sigE	yabR	1	sigma factor
sigX	yabR	1	sigma factor
sigW	yabR	1	sigma factor
spoIIID	yabR	-1	TF
yesS	yesR	0	TF+P+unk
ccpA	yesR	0	TF+PP+M
sigD	flhO	1	sigma factor
sigE	flhO	1	sigma factor
stringent response	flhO	-1	unk
sigA	menF	1	sigma factor
sigE	cotJC	1	sigma factor
spoIIID	cotJC	1	TF
sigA	ahpF	1	sigma factor
perR	ahpF	-1	TF+S
sigA	yqzE	1	sigma factor
comK	yqzE	1	TF
comZ	yqzE	-1	TF
sigA	groEL	1	sigma factor
hrcA	groEL	-1	TF+HrcA unstability
spo0A	yvyE	-1	TF+PP
sigA	nagA	1	sigma factor
nagR	nagA	-1	TF+M
ccpA	nagA	-1	TF+PP+M
sigA	ylxM	1	sigma factor
sigA	plsX	1	sigma factor
fapR	plsX	-1	TF+M
comA	plsX	1	TF+TC
stringent response	rpsK	-1	unk
sigK	cotP	1	sigma factor
gerE	cotP	-1	TF
sigE	ispE	1	sigma factor
sigA	thiE	1	sigma factor
birA	bioI	-1	TF+P+M
lexA	xkdA	-1	TF-proteolyse
sigG	yrbG	1	sigma factor
sigE	yrbG	1	sigma factor
spoIIID	yrbG	-1	TF
yesS	yesV	1	TF+P+unk
ccpA	yesV	0	TF+PP+M
abrB	yoqM	-1	TF
sigA	sdhB	1	sigma factor
fsrA	sdhB	-1	small regulatory RNA
ccpA	sdhB	-1	TF+PP+M
sigA	ytrF	1	sigma factor
ytrA	ytrF	-1	TF-M
sknR	yqaK	-1	TF
